core_id,region_id,continent
1254_2,region_28,Africa
1361_4,region_28,Africa
17_4,region_28,Africa
36_1,region_28,Africa
37_1,region_28,Africa
37_2,region_28,Africa
9012_1,region_28,Africa
ACA_Acarau Boca_1_1,region_20,S.America
ACA_Acarau Boca_1_2,region_20,S.America
ACA_Acarau Boca_2_1,region_20,S.America
ACA_Acarau Boca_2_2,region_20,S.America
ACA_Acarau Boca_3_1,region_20,S.America
ACA_Acarau Boca_3_2,region_20,S.America
ACA_Acarau Boca_4_1,region_20,S.America
ACA_Acarau Boca_4_2,region_20,S.America
ACA_Acarau Boca_5_1,region_20,S.America
ACA_Acarau Boca_5_2,region_20,S.America
ACA_Acarau Boca_6_1,region_20,S.America
ACA_Acarau Boca_6_2,region_20,S.America
AM_A_1,region_19,Africa
AM_A_2,region_19,Africa
AM_A_3,region_19,Africa
AM_A_4,region_19,Africa
AM_A_5,region_19,Africa
AM_A_6,region_19,Africa
AM_B_3,region_19,Africa
AM_B_4,region_19,Africa
AM_B_5,region_19,Africa
AM_C_1,region_19,Africa
AM_C_2,region_19,Africa
AM_C_3,region_19,Africa
AM_C_4,region_19,Africa
AM_C_6,region_19,Africa
Abu_al_Abyad_3_yr_planted_mangrove_3,region_10,Africa
Abu_al_Abyad_3_yr_planted_mangrove_4,region_10,Africa
Abu_al_Abyad_3_yr_planted_mangrove_5,region_10,Africa
Ajman_al_Zorah_mangrove_1,region_10,Africa
Ajman_al_Zorah_mangrove_2,region_10,Africa
Ajman_al_Zorah_mangrove_3,region_10,Africa
Ajman_al_Zorah_mangrove_4,region_10,Africa
Ajman_al_Zorah_mangrove_6,region_10,Africa
Al_Khor_mangrove_1,region_10,Africa
Al_Khor_mangrove_2,region_10,Africa
Al_Khor_mangrove_3,region_10,Africa
Al_Khor_mangrove_4,region_10,Africa
Al_Khor_mangrove_5,region_10,Africa
Al_Khor_mangrove_6,region_10,Africa
Al_Shalila_mangrove_1,region_10,Africa
Al_Shalila_mangrove_4,region_10,Africa
Al_Shalila_mangrove_5,region_10,Africa
Al_Shalila_mangrove_6,region_10,Africa
Arco_del_Espino_18_1,region_04,N.America
Arco_del_Espino_18_2,region_04,N.America
Arco_del_Espino_18_3,region_04,N.America
Arco_del_Espino_18_4,region_04,N.America
Arco_del_Espino_18_5,region_04,N.America
Arco_del_Espino_18_6,region_04,N.America
"Arguni, Kaimana_PT11_1_1",region_02,Oceania
"Arguni, Kaimana_PT11_2_1",region_02,Oceania
"Arguni, Kaimana_PT11_3_1",region_02,Oceania
"Arguni, Kaimana_PT1_1_1",region_02,Oceania
"Arguni, Kaimana_PT1_2_1",region_02,Oceania
"Arguni, Kaimana_PT1_3_1",region_02,Oceania
"Arguni, Kaimana_PT1_4_1",region_02,Oceania
"Arguni, Kaimana_PT2_1_1",region_02,Oceania
"Arguni, Kaimana_PT2_2_1",region_02,Oceania
"Arguni, Kaimana_PT2_3_1",region_02,Oceania
"Arguni, Kaimana_PT3_1_1",region_02,Oceania
"Arguni, Kaimana_PT3_2_1",region_02,Oceania
"Arguni, Kaimana_PT3_3_1",region_02,Oceania
"Arguni, Kaimana_PT3_4_1",region_02,Oceania
"Arguni, Kaimana_PT4_1_1",region_02,Oceania
"Arguni, Kaimana_PT4_2_1",region_02,Oceania
"Arguni, Kaimana_PT4_3_1",region_02,Oceania
"Arguni, Kaimana_PT5_1_1",region_02,Oceania
"Arguni, Kaimana_PT5_2_1",region_02,Oceania
"Arguni, Kaimana_PT5_3_1",region_02,Oceania
"Arguni, Kaimana_PT5_4_1",region_02,Oceania
"Arguni, Kaimana_PT5_5_1",region_02,Oceania
"Arguni, Kaimana_PT5_6_1",region_02,Oceania
"Arguni, Kaimana_PT6_1_1",region_02,Oceania
"Arguni, Kaimana_PT6_3_1",region_02,Oceania
